Date,Date,day,month,year,usa_daily_cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,usa_cases_ma7,usa_cases_ma14,usa_cases_ma21,usa_cases_ma28
2020-05-08,2020-05-08,5,8,2020,57525,1403,United_States_of_America,US,USA,329064917.0,America,264.0904439,54404.57142857143,51768.78571428572,48921.28571428572,47051.82142857143
2020-04-08,2020-04-08,4,8,2020,45607,543,United_States_of_America,US,USA,329064917.0,America,268.5038588,53844.142857142855,52522.42857142857,49269.333333333336,47471.71428571428
2020-03-08,2020-03-08,3,8,2020,47511,413,United_States_of_America,US,USA,329064917.0,America,271.8901207,53939.0,52908.642857142855,49888.619047619046,47897.78571428572
2020-02-08,2020-02-08,2,8,2020,58407,1133,United_States_of_America,US,USA,329064917.0,America,276.23120939999995,54251.28571428572,53645.92857142857,50556.666666666664,48407.21428571428
2020-01-08,2020-01-08,1,8,2020,67023,1244,United_States_of_America,US,USA,329064917.0,America,277.8545973,55518.857142857145,53802.0,51373.0,49027.53571428572
2020-07-31,2020-07-31,31,7,2020,68032,1357,United_States_of_America,US,USA,329064917.0,America,279.2132958,56701.28571428572,55011.857142857145,52517.142857142855,49817.642857142855
2020-07-30,2020-07-30,30,7,2020,74985,1457,United_States_of_America,US,USA,329064917.0,America,281.91732149999996,59870.0,56372.142857142855,53829.47619047619,50965.392857142855
2020-07-29,2020-07-29,29,7,2020,61734,1245,United_States_of_America,US,USA,329064917.0,America,279.7086388,60471.28571428572,57437.92857142857,54669.619047619046,51808.78571428572
2020-07-28,2020-07-28,28,7,2020,56243,1076,United_States_of_America,US,USA,329064917.0,America,281.77023810000003,61990.71428571428,57917.42857142857,55678.52380952381,52449.67857142857
2020-07-27,2020-07-27,27,7,2020,55993,475,United_States_of_America,US,USA,329064917.0,America,282.3388189,63202.42857142857,58570.71428571428,56339.90476190476,53217.07142857143
2020-07-26,2020-07-26,26,7,2020,65498,914,United_States_of_America,US,USA,329064917.0,America,282.72324150000003,64215.42857142857,59233.357142857145,57169.09523809524,53971.357142857145
2020-07-25,2020-07-25,25,7,2020,78427,1304,United_States_of_America,US,USA,329064917.0,America,281.9796192,65844.57142857143,60681.71428571428,57816.19047619047,54990.892857142855
2020-07-24,2020-07-24,24,7,2020,63196,1052,United_States_of_America,US,USA,329064917.0,America,278.39309289999994,65153.71428571428,60927.5,58392.47619047619,55676.28571428572
2020-07-23,2020-07-23,23,7,2020,68848,1124,United_States_of_America,US,USA,329064917.0,America,278.3347457,64277.0,62073.5,59007.09523809524,56441.357142857145
2020-07-22,2020-07-22,22,7,2020,72048,1160,United_States_of_America,US,USA,329064917.0,America,275.31345739999995,65750.42857142857,63110.857142857145,60208.76190476191,57439.82142857143
2020-07-21,2020-07-21,21,7,2020,56750,372,United_States_of_America,US,USA,329064917.0,America,270.88424019999997,65822.85714285714,63906.78571428572,60552.57142857143,58214.607142857145
2020-07-20,2020-07-20,20,7,2020,61796,415,United_States_of_America,US,USA,329064917.0,America,268.82993430000005,66651.85714285714,64927.142857142855,61264.42857142857,58917.892857142855
2020-07-19,2020-07-19,19,7,2020,63749,853,United_States_of_America,US,USA,329064917.0,America,264.9696017,66402.0,65308.71428571428,61622.90476190476,59477.32142857143
2020-07-18,2020-07-18,18,7,2020,71494,908,United_States_of_America,US,USA,329064917.0,America,259.33910180000004,65411.57142857143,65628.07142857143,62258.333333333336,59715.03571428572
2020-07-17,2020-07-17,17,7,2020,76930,939,United_States_of_America,US,USA,329064917.0,America,254.1571455,67373.57142857143,66263.64285714286,63076.19047619047,60637.75
2020-07-16,2020-07-16,16,7,2020,67717,953,United_States_of_America,US,USA,329064917.0,America,247.0062769,67212.0,65744.5,63786.333333333336,61058.32142857143
2020-07-15,2020-07-15,15,7,2020,68518,861,United_States_of_America,US,USA,329064917.0,America,242.24460249999998,66707.71428571429,66229.07142857143,64309.80952380953,61833.5
2020-07-14,2020-07-14,14,7,2020,58114,400,United_States_of_America,US,USA,329064917.0,America,234.75732599999998,66902.57142857143,66362.71428571429,64905.380952380954,62140.07142857143
2020-07-13,2020-07-13,13,7,2020,57258,391,United_States_of_America,US,USA,329064917.0,America,229.7254921,66254.28571428571,66453.07142857143,65369.52380952381,62511.892857142855
2020-12-07,2020-12-07,12,7,2020,63051,717,United_States_of_America,US,USA,329064917.0,America,224.0776704,66154.57142857143,66278.28571428571,65590.66666666667,62755.82142857143
2020-11-07,2020-11-07,11,7,2020,66625,806,United_States_of_America,US,USA,329064917.0,America,217.82814359999998,65459.0,65435.28571428572,65571.71428571429,63058.5
2020-10-07,2020-10-07,10,7,2020,63004,982,United_States_of_America,US,USA,329064917.0,America,211.41664280000003,63469.57142857143,65421.57142857143,65332.28571428572,63174.53571428572
2020-09-07,2020-09-07,9,7,2020,58906,829,United_States_of_America,US,USA,329064917.0,America,204.7143178,62210.857142857145,64711.42857142857,64566.619047619046,63392.46428571428
2020-08-07,2020-08-07,8,7,2020,57473,1174,United_States_of_America,US,USA,329064917.0,America,197.24861769999998,60633.0,63670.357142857145,64363.71428571428,63390.607142857145
2020-07-07,2020-07-07,7,7,2020,49990,359,United_States_of_America,US,USA,329064917.0,America,190.33417649999998,59472.42857142857,63187.5,64065.95238095238,63547.142857142855
2020-06-07,2020-06-07,6,7,2020,49093,271,United_States_of_America,US,USA,329064917.0,America,184.68179640000002,58306.0,62280.142857142855,63737.380952380954,63603.642857142855
2020-05-07,2020-05-07,5,7,2020,45221,242,United_States_of_America,US,USA,329064917.0,America,177.6011267,55758.857142857145,60956.71428571428,62771.80952380953,63132.71428571428
2020-04-07,2020-04-07,4,7,2020,54442,694,United_States_of_America,US,USA,329064917.0,America,174.23917600000001,54018.42857142857,59738.71428571428,61629.666666666664,62683.392857142855
2020-03-07,2020-03-07,3,7,2020,53399,678,United_States_of_America,US,USA,329064917.0,America,166.78380819999998,52646.28571428572,58057.92857142857,61163.142857142855,62160.78571428572
2020-02-07,2020-02-07,2,7,2020,52048,652,United_States_of_America,US,USA,329064917.0,America,158.99294419999998,51666.57142857143,56938.71428571428,60363.142857142855,61341.607142857145
2020-01-07,2020-01-07,1,7,2020,43880,1270,United_States_of_America,US,USA,329064917.0,America,150.9431648,49724.71428571428,55178.857142857145,59021.80952380953,60703.96428571428
2020-06-30,2020-06-30,30,6,2020,41556,336,United_States_of_America,US,USA,329064917.0,America,144.81215569999998,48519.857142857145,53996.142857142855,58298.28571428572,60179.42857142857
2020-06-29,2020-06-29,29,6,2020,38673,265,United_States_of_America,US,USA,329064917.0,America,138.2484053,47031.28571428572,52668.642857142855,57197.19047619047,59560.857142857145
2020-06-28,2020-06-28,28,6,2020,42486,500,United_States_of_America,US,USA,329064917.0,America,132.4349627,46640.57142857143,51199.71428571428,56184.666666666664,58739.0
2020-06-27,2020-06-27,27,6,2020,45527,623,United_States_of_America,US,USA,329064917.0,America,127.2852189,45367.0,49692.71428571428,54948.142857142855,57564.0
2020-06-26,2020-06-26,26,6,2020,40949,2437,United_States_of_America,US,USA,329064917.0,America,121.2414267,43588.42857142857,48117.357142857145,53234.76190476191,56769.46428571428
2020-06-25,2020-06-25,25,6,2020,34339,751,United_States_of_America,US,USA,329064917.0,America,115.75132450000001,41058.57142857143,46362.57142857143,51645.333333333336,55537.0
2020-06-24,2020-06-24,24,6,2020,34720,826,United_States_of_America,US,USA,329064917.0,America,111.58041499999999,39750.0,44737.357142857145,50035.90476190476,54203.857142857145
2020-06-23,2020-06-23,23,6,2020,31390,427,United_States_of_America,US,USA,329064917.0,America,106.7014385,38297.71428571428,43408.78571428572,48763.333333333336,53298.142857142855
2020-06-22,2020-06-22,22,6,2020,25793,256,United_States_of_America,US,USA,329064917.0,America,102.8821313,36457.71428571428,41744.5,47265.0,52012.32142857143
2020-06-21,2020-06-21,21,6,2020,34158,607,United_States_of_America,US,USA,329064917.0,America,101.8212464,35268.0,40954.28571428572,45889.142857142855,50955.5
2020-06-20,2020-06-20,20,6,2020,29909,678,United_States_of_America,US,USA,329064917.0,America,98.19430249,33036.857142857145,39201.92857142857,44140.76190476191,49470.32142857143
2020-06-19,2020-06-19,19,6,2020,27762,717,United_States_of_America,US,USA,329064917.0,America,96.75659226,31153.0,37370.71428571428,42462.57142857143,47714.32142857143
2020-06-18,2020-06-18,18,6,2020,25559,754,United_States_of_America,US,USA,329064917.0,America,94.74422337,29898.714285714286,35478.642857142855,40874.619047619046,46208.67857142857
2020-06-17,2020-06-17,17,6,2020,23705,836,United_States_of_America,US,USA,329064917.0,America,92.96341974,28325.14285714286,34037.57142857143,39266.619047619046,44608.21428571428
2020-06-16,2020-06-16,16,6,2020,19957,395,United_States_of_America,US,USA,329064917.0,America,92.00281901,26691.85714285714,32494.785714285714,37836.47619047619,43245.46428571428
2020-06-15,2020-06-15,15,6,2020,19543,296,United_States_of_America,US,USA,329064917.0,America,92.3459124,25799.0,31128.35714285714,36429.333333333336,41898.5
2020-06-14,2020-06-14,14,6,2020,25540,767,United_States_of_America,US,USA,329064917.0,America,92.42613973,24567.85714285714,29917.928571428572,35492.142857142855,40558.82142857143
2020-06-13,2020-06-13,13,6,2020,25639,849,United_States_of_America,US,USA,329064917.0,America,91.74451131,23957.85714285714,28497.35714285714,34120.57142857143,39095.03571428572
2020-12-06,2020-12-06,12,6,2020,22883,896,United_States_of_America,US,USA,329064917.0,America,91.65273611,23260.85714285714,27206.928571428572,32667.428571428572,37662.142857142855
2020-11-06,2020-11-06,11,6,2020,20614,918,United_States_of_America,US,USA,329064917.0,America,91.32878787,22554.428571428572,26226.571428571428,31170.571428571428,36294.57142857143
2020-10-06,2020-10-06,10,6,2020,18665,999,United_States_of_America,US,USA,329064917.0,America,90.75352144,21834.428571428572,25079.785714285714,29969.85714285714,34908.57142857143
2020-09-06,2020-09-06,9,6,2020,18822,493,United_States_of_America,US,USA,329064917.0,America,90.82797483,21672.285714285714,24182.071428571428,28887.285714285714,33795.42857142857
2020-08-06,2020-08-06,8,6,2020,22302,712,United_States_of_America,US,USA,329064917.0,America,90.90151655,22066.428571428572,23932.714285714286,28107.714285714286,32838.607142857145
2020-07-06,2020-07-06,7,6,2020,22223,659,United_States_of_America,US,USA,329064917.0,America,90.37456886,21592.571428571428,23080.214285714286,27142.809523809523,32017.25
2020-06-06,2020-06-06,6,6,2020,25178,932,United_States_of_America,US,USA,329064917.0,America,90.07462804,21526.714285714286,22742.285714285714,26173.809523809523,30972.10714285714
2020-05-06,2020-05-06,5,6,2020,21140,1036,United_States_of_America,US,USA,329064917.0,America,89.76131600000001,21277.714285714286,22269.285714285714,25230.52380952381,29820.0
2020-04-06,2020-04-06,4,6,2020,19699,994,United_States_of_America,US,USA,329064917.0,America,91.0662257,21147.0,21850.714285714286,24533.380952380954,28664.678571428572
2020-03-06,2020-03-06,3,6,2020,20544,1034,United_States_of_America,US,USA,329064917.0,America,92.15598027,21415.428571428572,21624.928571428572,23858.333333333332,27831.25
2020-02-06,2020-02-06,2,6,2020,21086,764,United_States_of_America,US,USA,329064917.0,America,91.98154661,21738.85714285714,21705.571428571428,23367.666666666668,27100.178571428572
2020-01-06,2020-01-06,1,6,2020,19807,602,United_States_of_America,US,USA,329064917.0,America,92.21098462,21382.428571428572,21724.428571428572,23082.619047619046,26426.39285714286
2020-05-31,2020-05-31,31,5,2020,23297,945,United_States_of_America,US,USA,329064917.0,America,91.92715005,21535.85714285714,21564.214285714286,22565.428571428572,25741.071428571428
2020-05-30,2020-05-30,30,5,2020,25337,1219,United_States_of_America,US,USA,329064917.0,America,92.28878082,21558.571428571428,21542.64285714286,22347.714285714286,25020.0
2020-05-29,2020-05-29,29,5,2020,21817,1175,United_States_of_America,US,USA,329064917.0,America,92.34074625,21655.285714285714,21466.5,22064.619047619046,24336.714285714286
2020-05-28,2020-05-28,28,5,2020,18721,1526,United_States_of_America,US,USA,329064917.0,America,93.95927187,21515.571428571428,21331.285714285714,21739.0,23778.928571428572
2020-05-27,2020-05-27,27,5,2020,18910,696,United_States_of_America,US,USA,329064917.0,America,94.58559206,21282.14285714286,21348.785714285714,21510.666666666668,23214.285714285714
2020-05-26,2020-05-26,26,5,2020,19064,500,United_States_of_America,US,USA,329064917.0,America,95.53920329,20993.285714285714,21366.071428571428,21468.14285714286,22774.071428571428
2020-05-25,2020-05-25,25,5,2020,20568,633,United_States_of_America,US,USA,329064917.0,America,95.25141813,21102.0,21242.214285714286,21516.95238095238,22587.464285714286
2020-05-24,2020-05-24,24,5,2020,21236,1080,United_States_of_America,US,USA,329064917.0,America,95.15721179,20807.571428571428,21171.714285714286,21312.0,22125.964285714286
2020-05-23,2020-05-23,23,5,2020,24147,1305,United_States_of_America,US,USA,329064917.0,America,96.48704058,20637.571428571428,21098.071428571428,21240.95238095238,21920.178571428572
2020-05-22,2020-05-22,22,5,2020,25434,1263,United_States_of_America,US,USA,329064917.0,America,97.34097543,21154.285714285714,21404.785714285714,21362.428571428572,21837.035714285714
2020-05-21,2020-05-21,21,5,2020,23285,1518,United_States_of_America,US,USA,329064917.0,America,98.23289670000001,21806.285714285714,21660.928571428572,21489.619047619046,21755.821428571428
2020-05-20,2020-05-20,20,5,2020,19970,1568,United_States_of_America,US,USA,329064917.0,America,98.48907716,21957.714285714286,21619.928571428572,21551.761904761905,21622.428571428572
2020-05-19,2020-05-19,19,5,2020,21841,791,United_States_of_America,US,USA,329064917.0,America,99.66544079,22354.428571428572,21673.85714285714,21695.52380952381,21689.714285714286
2020-05-18,2020-05-18,18,5,2020,18873,808,United_States_of_America,US,USA,329064917.0,America,99.89396712,22112.285714285714,21607.14285714286,21532.238095238095,21665.785714285714
2020-05-17,2020-05-17,17,5,2020,24487,1186,United_States_of_America,US,USA,329064917.0,America,101.7474008,22576.714285714286,21692.14285714286,21640.04761904762,21628.178571428572
2020-05-16,2020-05-16,16,5,2020,25508,1662,United_States_of_America,US,USA,329064917.0,America,103.2063834,22771.14285714286,21704.35714285714,21655.761904761905,21623.5
2020-05-15,2020-05-15,15,5,2020,27143,1773,United_States_of_America,US,USA,329064917.0,America,105.77335409999999,23015.285714285714,22084.785714285714,21941.619047619046,21775.64285714286
2020-05-14,2020-05-14,14,5,2020,20782,1746,United_States_of_America,US,USA,329064917.0,America,106.6163489,22657.714285714286,22232.0,21993.190476190477,21781.64285714286
2020-05-13,2020-05-13,13,5,2020,22048,1703,United_States_of_America,US,USA,329064917.0,America,108.6050143,22954.571428571428,22456.14285714286,22064.809523809523,21902.464285714286
2020-12-05,2020-12-05,12,5,2020,18117,1156,United_States_of_America,US,USA,329064917.0,America,109.23832390000001,22422.571428571428,22388.5,21923.428571428572,21877.285714285714
2020-11-05,2020-11-05,11,5,2020,20258,734,United_States_of_America,US,USA,329064917.0,America,110.5827395,22620.428571428572,22366.35714285714,21944.904761904763,21804.285714285714
2020-10-05,2020-10-05,10,5,2020,25612,1614,United_States_of_America,US,USA,329064917.0,America,112.5881189,22781.14285714286,22678.928571428572,22055.14285714286,21925.321428571428
2020-09-05,2020-09-05,9,5,2020,26957,1510,United_States_of_America,US,USA,329064917.0,America,119.55239820000001,22988.14285714286,22879.64285714286,22132.285714285714,21988.85714285714
2020-08-05,2020-08-05,8,5,2020,28369,2239,United_States_of_America,US,USA,329064917.0,America,117.84908689999999,23163.285714285714,23089.285714285714,22444.285714285714,22247.035714285714
2020-07-05,2020-07-05,7,5,2020,24128,2353,United_States_of_America,US,USA,329064917.0,America,117.2941812,23641.285714285714,23149.5,22701.761904761905,22405.214285714286
2020-06-05,2020-06-05,6,5,2020,23841,2144,United_States_of_America,US,USA,329064917.0,America,115.3067314,23897.428571428572,23426.0,22936.571428571428,22522.964285714286
2020-05-05,2020-05-05,5,5,2020,22593,1252,United_States_of_America,US,USA,329064917.0,America,119.39346299999998,24536.85714285714,23479.714285714286,23104.619047619046,22576.785714285714
2020-04-05,2020-04-05,4,5,2020,24972,1297,United_States_of_America,US,USA,329064917.0,America,121.0563568,25210.285714285714,23915.35714285714,23314.333333333332,22761.25
2020-03-05,2020-03-05,3,5,2020,29288,1317,United_States_of_America,US,USA,329064917.0,America,120.94361310000001,25735.428571428572,24258.285714285714,23697.761904761905,22975.214285714286
2020-02-05,2020-02-05,2,5,2020,33955,2062,United_States_of_America,US,USA,329064917.0,America,122.04795449999999,26735.14285714286,24861.64285714286,24164.809523809523,23283.0
2020-01-05,2020-01-05,1,5,2020,29917,2040,United_States_of_America,US,USA,329064917.0,America,121.0992055,26956.285714285714,25059.785714285714,24378.285714285714,23572.285714285714
2020-04-30,2020-04-30,30,4,2020,27326,2611,United_States_of_America,US,USA,329064917.0,America,121.63101540000001,27413.14285714286,25527.214285714286,24570.714285714286,23879.60714285714
2020-04-29,2020-04-29,29,4,2020,24132,2110,United_States_of_America,US,USA,329064917.0,America,122.488597,27454.714285714286,25676.071428571428,24768.904761904763,24066.10714285714
2020-04-28,2020-04-28,28,4,2020,22541,1369,United_States_of_America,US,USA,329064917.0,America,123.336454,27447.285714285714,25992.071428571428,24802.238095238095,24190.285714285714
2020-04-27,2020-04-27,27,4,2020,26857,1687,United_States_of_America,US,USA,329064917.0,America,124.0907125,27716.571428571428,26463.428571428572,25182.428571428572,24414.89285714286
2020-04-26,2020-04-26,26,4,2020,48529,2172,United_States_of_America,US,USA,329064917.0,America,124.32258159999999,30465.285714285714,28100.35714285714,26327.285714285714,25389.64285714286
2020-04-25,2020-04-25,25,4,2020,21352,1054,United_States_of_America,US,USA,329064917.0,America,118.2028165,28664.85714285714,27700.0,26129.380952380954,25289.821428571428
2020-04-24,2020-04-24,24,4,2020,26543,3179,United_States_of_America,US,USA,329064917.0,America,122.51047720000001,28182.85714285714,27569.571428571428,26100.809523809523,25329.428571428572
2020-04-23,2020-04-23,23,4,2020,17588,1721,United_States_of_America,US,USA,329064917.0,America,124.74651010000001,26791.714285714286,27102.428571428572,25948.714285714286,25125.964285714286
2020-04-22,2020-04-22,22,4,2020,37289,2524,United_States_of_America,US,USA,329064917.0,America,129.5282414,28671.285714285714,28063.0,26674.47619047619,25744.5
