Date,Open,High,Low,Close,Adj Close,Volume,ndx_ma1,ndx_ma2,ndx_ma3,ndx_ma4,ndx_ma5,ndx_ma6,ndx_ma7,ndx_ma8,ndx_ma9,ndx_ma10,ndx_ma21,ndx_ma28,ndx_ma14,Date,day,month,year,usa_daily_cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,usa_cases_ma7,usa_cases_ma14,usa_cases_ma21,usa_cases_ma28
2020-02-24,9079.6298828125,9079.6298828125,9079.6298828125,9079.6298828125,9079.6298828125,0,9079.6298828125,9263.16015625,9384.716796875,9468.22021484375,9500.5361328125,9521.04345703125,9531.708705357143,9541.895141601562,9539.224609375,9354.355126953125,9354.355126953125,9354.355126953125,9531.708705357143,2020-02-24,24.0,2.0,2020.0,0.0,0.0,United_States_of_America,US,USA,329064917.0,America,0.006989499999999999,4.857142857142857,28.428571428571427,138.85714285714286,954.0
2020-02-25,8834.8701171875,8834.8701171875,8834.8701171875,8834.8701171875,8834.8701171875,0,8834.8701171875,8957.25,9120.396809895834,9247.255126953125,9341.5501953125,9389.591796875,9423.01869419643,9444.603881835938,9463.336805555555,9468.78916015625,9468.78916015625,9468.78916015625,9423.01869419643,2020-02-25,25.0,2.0,2020.0,18.0,0.0,United_States_of_America,US,USA,329064917.0,America,0.01215566,7.714285714285714,37.07142857142857,178.04761904761904,1256.107142857143
2020-02-26,8873.759765625,8873.759765625,8873.759765625,8873.759765625,8873.759765625,0,8873.759765625,8854.31494140625,8929.419921875,9058.737548828125,9172.5560546875,9263.585123697916,9315.90150669643,9354.361328125,9381.1767578125,9404.3791015625,9404.3791015625,9404.3791015625,9315.90150669643,2020-02-26,26.0,2.0,2020.0,0.0,0.0,United_States_of_America,US,USA,329064917.0,America,0.01215566,7.142857142857143,50.07142857142857,219.42857142857142,1656.75
2020-02-27,8436.669921875,8436.669921875,8436.669921875,8436.669921875,8436.669921875,0,8436.669921875,8655.21484375,8715.099934895834,8806.232421875,8934.3240234375,9049.908365885416,9145.454380580357,9205.99755859375,9252.395616319445,9286.72607421875,9286.72607421875,9286.72607421875,9145.454380580357,2020-02-27,27.0,2.0,2020.0,6.0,0.0,United_States_of_America,US,USA,329064917.0,America,0.01367511,10.285714285714286,69.42857142857143,303.5238095238095,1970.642857142857
2020-02-28,8461.830078125,8461.830078125,8461.830078125,8461.830078125,8461.830078125,0,8461.830078125,8449.25,8590.753255208334,8651.782470703125,8737.351953125,8855.575032552084,8965.897181919643,9060.001342773438,9123.312282986111,9173.3390625,9173.3390625,9173.3390625,8965.897181919643,2020-02-28,28.0,2.0,2020.0,1.0,0.0,United_States_of_America,US,USA,329064917.0,America,0.01367511,14.285714285714286,89.5,445.5238095238095,2469.1071428571427
2020-03-02,8877.98046875,8877.98046875,8877.98046875,8877.98046875,8877.98046875,0,8877.98046875,8669.9052734375,8592.16015625,8662.56005859375,8697.0220703125,8760.7900390625,8858.775809151786,8954.907592773438,9039.776801215277,9098.7791015625,9098.7791015625,9098.7791015625,8858.775809151786,2020-03-02,3.0,2.0,2020.0,3.0,0.0,United_States_of_America,US,USA,329064917.0,America,0.00334281,0.5714285714285714,0.5,1.2857142857142858,2.1785714285714284
2020-03-03,8594.490234375,8594.490234375,8594.490234375,8594.490234375,8594.490234375,0,8594.490234375,8736.2353515625,8644.766927083334,8592.74267578125,8648.94609375,8679.933430989584,8737.032924107143,8825.740112304688,8914.861219618055,8995.24814453125,8995.24814453125,8995.24814453125,8737.032924107143,2020-03-03,3.0,3.0,2020.0,14.0,4.0,United_States_of_America,US,USA,329064917.0,America,0.02674244,66.42857142857143,263.2142857142857,1672.2380952380952,5104.857142857143
2020-03-04,8949.2802734375,8949.2802734375,8949.2802734375,8949.2802734375,8949.2802734375,0,8949.2802734375,8771.88525390625,8807.250325520834,8720.895263671875,8664.0501953125,8699.001790364584,8718.411551339286,8763.563842773438,8839.466796875,8918.303125,8918.303125,8918.303125,8718.411551339286,2020-03-04,3.0,4.0,2020.0,28819.0,915.0,United_States_of_America,US,USA,329064917.0,America,70.28704309,30773.0,30210.214285714286,29805.14285714286,29399.571428571428
2020-03-05,8671.66015625,8671.66015625,8671.66015625,8671.66015625,8671.66015625,0,8671.66015625,8810.47021484375,8738.476888020834,8773.352783203125,8711.0482421875,8665.318522135416,8695.09584263393,8712.567626953125,8753.352322048611,8822.6861328125,8822.6861328125,8822.6861328125,8695.09584263393,2020-03-05,3.0,5.0,2020.0,29288.0,1317.0,United_States_of_America,US,USA,329064917.0,America,120.94361310000001,25735.428571428572,24258.285714285714,23697.761904761905,22975.214285714286
2020-03-09,7948.02978515625,7948.02978515625,7948.02978515625,7948.02978515625,7948.02978515625,0,7948.02978515625,8309.844970703125,8522.990071614584,8540.865112304688,8608.28818359375,8583.878499348959,8562.848702566964,8601.712585449219,8627.618977864584,8672.820068359375,8672.820068359375,8672.820068359375,8562.848702566964,2020-03-09,3.0,9.0,2020.0,38754.0,1055.0,United_States_of_America,US,USA,329064917.0,America,177.6439753,36020.142857142855,37902.92857142857,39077.23809523809,39836.03571428572
2020-03-10,8372.26953125,8372.26953125,8372.26953125,8372.26953125,8372.26953125,0,8372.26953125,8160.149658203125,8330.653157552084,8485.309936523438,8507.14599609375,8568.951741536459,8553.648646763393,8539.026306152344,8576.218912760416,8602.084033203126,8602.084033203126,8602.084033203126,8553.648646763393,2020-03-10,3.0,10.0,2020.0,54471.0,908.0,United_States_of_America,US,USA,329064917.0,America,184.64988780000002,46968.57142857143,50147.92857142857,53834.57142857143,59583.57142857143
2020-03-13,7995.259765625,7995.259765625,7995.259765625,7995.259765625,7995.259765625,0,7995.259765625,7629.454833984375,7755.009928385417,7909.3248291015625,7917.0658203125,8042.83154296875,8172.32421875,8225.094970703125,8297.637803819445,8314.05703125,8314.05703125,8314.05703125,8172.32421875,2020-03-13,13.0,3.0,2020.0,351.0,10.0,United_States_of_America,US,USA,329064917.0,America,0.48713792,1157.5714285714287,4848.714285714285,10257.57142857143,15386.42857142857
2020-03-16,7020.3798828125,7020.3798828125,7020.3798828125,7020.3798828125,7020.3798828125,0,7020.3798828125,7507.81982421875,7426.429850260417,7571.3524169921875,7731.53583984375,7767.6181640625,7896.767020089285,8028.3311767578125,8091.237738715277,8169.91201171875,8169.91201171875,8169.91201171875,7896.767020089285,2020-03-16,16.0,3.0,2020.0,823.0,12.0,United_States_of_America,US,USA,329064917.0,America,1.11983983,3399.4285714285716,8693.857142857143,14727.904761904761,18821.428571428572
2020-03-17,7473.9501953125,7473.9501953125,7473.9501953125,7473.9501953125,7473.9501953125,0,7473.9501953125,7247.1650390625,7496.529947916667,7438.3099365234375,7551.87197265625,7688.604899088542,7725.665597098215,7843.9149169921875,7966.733289930556,8029.508984375,8029.508984375,8029.508984375,7725.665597098215,2020-03-17,17.0,3.0,2020.0,887.0,16.0,United_States_of_America,US,USA,329064917.0,America,1.38513702,4490.285714285715,9946.5,15898.142857142857,19778.464285714286
2020-03-18,7175.18017578125,7175.18017578125,7175.18017578125,7175.18017578125,7175.18017578125,0,7175.18017578125,7324.565185546875,7223.170084635417,7416.1925048828125,7385.683984375,7489.090006510417,7615.258510044643,7656.854919433594,7769.611056857639,7887.577978515625,7887.577978515625,7887.577978515625,7615.258510044643,2020-03-18,18.0,3.0,2020.0,1766.0,23.0,United_States_of_America,US,USA,329064917.0,America,1.91512364,5968.714285714285,11425.642857142857,17311.190476190477,20640.464285714286
2020-03-19,7288.52001953125,7288.52001953125,7288.52001953125,7288.52001953125,7288.52001953125,0,7288.52001953125,7231.85009765625,7312.550130208333,7239.507568359375,7390.6580078125,7369.489990234375,7460.437151227678,7574.416198730469,7615.928819444444,7721.501953125,7721.501953125,7721.501953125,7460.437151227678,2020-03-19,19.0,3.0,2020.0,2988.0,42.0,United_States_of_America,US,USA,329064917.0,America,2.81281885,6972.0,13085.07142857143,18684.85714285714,21538.89285714286
2020-03-20,6994.2900390625,6994.2900390625,6994.2900390625,6994.2900390625,6994.2900390625,0,6994.2900390625,7141.405029296875,7152.663411458333,7232.985107421875,7190.4640625,7324.5966796875,7315.889997209822,7402.168762207031,7509.957736545139,7553.76494140625,7553.76494140625,7553.76494140625,7315.889997209822,2020-03-20,20.0,3.0,2020.0,4835.0,0.0,United_States_of_America,US,USA,329064917.0,America,4.25964583,8539.857142857143,14807.57142857143,20129.380952380954,22508.89285714286
2020-03-23,7006.919921875,7006.919921875,7006.919921875,7006.919921875,7006.919921875,0,7006.919921875,7000.60498046875,7096.57666015625,7116.2275390625,7187.7720703125,7159.873372395833,7279.214285714285,7277.268737792969,7358.252224392361,7459.653955078125,7459.653955078125,7459.653955078125,7279.214285714285,2020-03-23,23.0,3.0,2020.0,8459.0,131.0,United_States_of_America,US,USA,329064917.0,America,10.53044497,13988.285714285714,20392.14285714286,23962.095238095237,25297.821428571428
2020-03-24,7553.81982421875,7553.81982421875,7553.81982421875,7553.81982421875,7553.81982421875,0,7553.81982421875,7280.369873046875,7185.009928385417,7210.887451171875,7203.74599609375,7248.780029296875,7216.151436941965,7313.539978027344,7307.996636284723,7377.808984375,7377.808984375,7377.808984375,7216.151436941965,2020-03-24,24.0,3.0,2020.0,11236.0,119.0,United_States_of_America,US,USA,329064917.0,America,13.88419052,15402.714285714286,21602.071428571428,24874.52380952381,25874.321428571428
2020-03-25,7469.6201171875,7469.6201171875,7469.6201171875,7469.6201171875,7469.6201171875,0,7469.6201171875,7511.719970703125,7343.453287760417,7256.1624755859375,7262.633984375,7248.058349609375,7280.32861328125,7247.835021972656,7330.882215711806,7324.158984375,7324.158984375,7324.158984375,7280.32861328125,2020-03-25,25.0,3.0,2020.0,8789.0,211.0,United_States_of_America,US,USA,329064917.0,America,16.47273751,16882.571428571428,22982.428571428572,25531.04761904762,26475.35714285714
2020-03-26,7897.1298828125,7897.1298828125,7897.1298828125,7897.1298828125,7897.1298828125,0,7897.1298828125,7683.375,7640.18994140625,7481.8724365234375,7384.35595703125,7368.38330078125,7340.782854352678,7357.428771972656,7319.978895399306,7387.506982421875,7387.506982421875,7387.506982421875,7340.782854352678,2020-03-26,26.0,3.0,2020.0,13963.0,249.0,United_States_of_America,US,USA,329064917.0,America,20.62875636,19198.14285714286,24541.285714285714,26394.52380952381,27493.214285714286
2020-03-27,7588.3701171875,7588.3701171875,7588.3701171875,7588.3701171875,7588.3701171875,0,7588.3701171875,7742.75,7651.706705729167,7627.2349853515625,7503.17197265625,7418.358317057292,7399.809988839285,7371.731262207031,7383.088921440973,7346.818017578125,7346.818017578125,7346.818017578125,7399.809988839285,2020-03-27,27.0,3.0,2020.0,16797.0,246.0,United_States_of_America,US,USA,329064917.0,America,25.62655441,21075.285714285714,25924.14285714286,27165.238095238095,27622.678571428572
2020-03-30,7889.009765625,7889.009765625,7889.009765625,7889.009765625,7889.009765625,0,7889.009765625,7738.68994140625,7791.503255208333,7711.032470703125,7679.58994140625,7567.478271484375,7485.59423828125,7460.9599609375,7429.206651475694,7433.681005859375,7433.681005859375,7433.681005859375,7485.59423828125,2020-03-30,30.0,3.0,2020.0,18360.0,318.0,United_States_of_America,US,USA,329064917.0,America,42.31718205,26796.0,28949.0,29067.666666666668,29085.285714285714
2020-03-31,7813.5,7813.5,7813.5,7813.5,7813.5,0,7813.5,7851.2548828125,7763.626627604167,7797.00244140625,7731.5259765625,7701.908284505208,7602.624232700893,7526.582458496094,7500.131076388889,7467.635986328125,7467.635986328125,7467.635986328125,7602.624232700893,2020-03-31,31.0,3.0,2020.0,21595.0,661.0,United_States_of_America,US,USA,329064917.0,America,48.61016527,27801.428571428572,29610.428571428572,29364.85714285714,29388.75
2020-04-02,7635.66015625,7635.66015625,7635.66015625,7635.66015625,7635.66015625,0,7635.66015625,7560.97509765625,7645.150065104167,7706.114990234375,7682.566015625,7718.32666015625,7682.797154017857,7666.674987792969,7593.368869357639,7533.460986328125,7533.460986328125,7533.460986328125,7682.797154017857,2020-04-02,4.0,2.0,2020.0,0.0,0.0,United_States_of_America,US,USA,329064917.0,America,0.00303891,0.14285714285714285,0.2857142857142857,1.1428571428571428,2.7857142857142856
2020-04-03,7528.10986328125,7528.10986328125,7528.10986328125,7528.10986328125,7528.10986328125,0,7528.10986328125,7581.885009765625,7550.02001953125,7615.8900146484375,7670.51396484375,7656.823323567708,7691.15283203125,7663.461242675781,7651.278862847223,7586.84296875,7586.84296875,7586.84296875,7691.15283203125,2020-04-03,4.0,3.0,2020.0,22.0,3.0,United_States_of_America,US,USA,329064917.0,America,0.03342805,93.0,325.57142857142856,2206.6190476190477,5875.607142857143
2020-04-06,8081.66015625,8081.66015625,8081.66015625,8081.66015625,8081.66015625,0,8081.66015625,7804.885009765625,7748.476725260417,7682.9300537109375,7709.04404296875,7739.038330078125,7717.514299665178,7739.966247558594,7709.927788628473,7694.3169921875,7694.3169921875,7694.3169921875,7717.514299665178,2020-04-06,4.0,6.0,2020.0,19699.0,994.0,United_States_of_America,US,USA,329064917.0,America,91.0662257,21147.0,21850.714285714286,24533.380952380954,28664.678571428572
2020-04-07,8049.31005859375,8049.31005859375,8049.31005859375,8049.31005859375,8049.31005859375,0,8049.31005859375,8065.485107421875,7886.360026041667,7823.68505859375,7756.2060546875,7765.755045572917,7783.362862723215,7758.98876953125,7774.337782118056,7743.866015625,7743.866015625,7743.866015625,7783.362862723215,2020-04-07,4.0,7.0,2020.0,54442.0,694.0,United_States_of_America,US,USA,329064917.0,America,174.23917600000001,54018.42857142857,59738.71428571428,61629.666666666664,62683.392857142855
2020-04-08,8229.5400390625,8229.5400390625,8229.5400390625,8229.5400390625,8229.5400390625,0,8229.5400390625,8139.425048828125,8120.170084635417,7972.155029296875,7904.8560546875,7835.095052083333,7832.010044642857,7839.135009765625,7811.272243923611,7819.8580078125,7819.8580078125,7819.8580078125,7832.010044642857,2020-04-08,4.0,8.0,2020.0,45607.0,543.0,United_States_of_America,US,USA,329064917.0,America,268.5038588,53844.142857142855,52522.42857142857,49269.333333333336,47471.71428571428
2020-04-09,8238.5302734375,8238.5302734375,8238.5302734375,8238.5302734375,8238.5302734375,0,8238.5302734375,8234.03515625,8172.460123697917,8149.7601318359375,8025.430078125,7960.468424479167,7892.728655133928,7882.8250732421875,7883.512261284723,7853.998046875,7853.998046875,7853.998046875,7892.728655133928,2020-04-09,4.0,9.0,2020.0,36249.0,1053.0,United_States_of_America,US,USA,329064917.0,America,175.2869936,35044.857142857145,36891.78571428572,39038.0,39951.32142857143
2020-04-13,8332.740234375,8332.740234375,8332.740234375,8332.740234375,8332.740234375,0,8332.740234375,8285.63525390625,8266.936848958334,8212.530151367188,8186.35615234375,8076.6484375,8013.650111607143,7947.7301025390625,7932.815646701389,7928.43505859375,7928.43505859375,7928.43505859375,8013.650111607143,2020-04-13,13.0,4.0,2020.0,27620.0,1500.0,United_States_of_America,US,USA,329064917.0,America,125.97696640000001,29305.0,29221.571428571428,28719.904761904763,27842.5
2020-04-15,8591.9599609375,8591.9599609375,8591.9599609375,8591.9599609375,8591.9599609375,0,8591.9599609375,8462.35009765625,8387.743489583334,8348.192626953125,8288.41611328125,8253.956787109375,8150.264369419643,8085.9388427734375,8019.311197916667,7998.730078125,7998.730078125,7998.730078125,8150.264369419643,2020-04-15,15.0,4.0,2020.0,26922.0,2408.0,United_States_of_America,US,USA,329064917.0,America,127.6033932,29308.285714285714,28989.785714285714,28478.095238095237,27332.928571428572
2020-04-16,8757.830078125,8757.830078125,8757.830078125,8757.830078125,8757.830078125,0,8757.830078125,8674.89501953125,8560.843424479166,8480.26513671875,8430.1201171875,8366.651774088541,8325.938685825893,8226.210083007812,8160.593424479167,8093.1630859375,8093.1630859375,8093.1630859375,8325.938685825893,2020-04-16,16.0,4.0,2020.0,30148.0,4928.0,United_States_of_America,US,USA,329064917.0,America,128.5287426,30789.285714285714,28790.5,28331.380952380954,27158.85714285714
2020-04-17,8832.41015625,8832.41015625,8832.41015625,8832.41015625,8832.41015625,0,8832.41015625,8795.1201171875,8727.400065104166,8628.735107421875,8550.694140625,8497.16845703125,8433.188685825893,8389.247619628906,8293.565646701389,8227.77509765625,8227.77509765625,8227.77509765625,8433.188685825893,2020-04-17,17.0,4.0,2020.0,31667.0,2299.0,United_States_of_America,US,USA,329064917.0,America,129.39422530000002,28995.0,28588.928571428572,28044.714285714286,26824.35714285714
2020-04-20,8726.509765625,8726.509765625,8726.509765625,8726.509765625,8726.509765625,0,8726.509765625,8779.4599609375,8772.25,8727.177490234375,8648.2900390625,8579.996744791666,8529.93150111607,8469.853820800781,8426.72119140625,8336.86005859375,8336.86005859375,8336.86005859375,8529.93150111607,2020-04-20,20.0,4.0,2020.0,24601.0,1772.0,United_States_of_America,US,USA,329064917.0,America,128.2579753,29138.14285714286,28427.35714285714,27355.0,26171.35714285714
2020-04-21,8403.0,8403.0,8403.0,8403.0,8403.0,0,8403.0,8564.7548828125,8653.973307291666,8679.9375,8662.3419921875,8607.408365885416,8554.711495535714,8514.065063476562,8462.425618489584,8424.349072265624,8424.349072265624,8424.349072265624,8554.711495535714,2020-04-21,21.0,4.0,2020.0,28065.0,1857.0,United_States_of_America,US,USA,329064917.0,America,127.49946240000001,29460.428571428572,28453.85714285714,27148.190476190477,25966.785714285714
2020-04-22,8664.6298828125,8664.6298828125,8664.6298828125,8664.6298828125,8664.6298828125,0,8664.6298828125,8533.81494140625,8598.046549479166,8656.637451171875,8676.8759765625,8662.723307291666,8615.58286830357,8568.451293945312,8530.794487847223,8482.646044921876,8482.646044921876,8482.646044921876,8615.58286830357,2020-04-22,22.0,4.0,2020.0,37289.0,2524.0,United_States_of_America,US,USA,329064917.0,America,129.5282414,28671.285714285714,28063.0,26674.47619047619,25744.5
